ASV	NTC	NTC	NTC	NTC	NTC	NTC	NTC	P2	D26	P27	P6	D6	V6	S6	V4	P9	S22	D2	P30A	V9	S13	S30A	D9	D13	V13	V23	V17	V16	D16	S17	P22	P17	D17	S9	P10	D22	S4	P5	P23	D23	V2	V5	V2_3	S2_2	D24	V24	S24	P26	S31	S27	S2	V27	S26	V10	V2_2	V30B	V78	V30A	P16	D30B	S10	D30A	S78	D31	P13	D4	D5	P76	D76	V76	S30B	P31	D78	S76	P78	P4	P2_2	P2_3	D2_2	D27	S23	P24	S2_3	V31	P30B	V26	V22	D10	S16	D2_3	S5
ASV1922	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV1923	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	7	0	0	0	104	0	0	0	9	0	0	0	0	0	0	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0
ASV1924	0	0	0	0	0	0	0	0	0	0	0	75	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	5	0	0	0	2	0	0
ASV1925	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	8	0	0	0	0	0	9	0	0	0	35	0	0	0	6	0	0	1	0	0	0	0	0	0	7	2	1	0	0	0	4	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	9	0	0	0	0	0	0	0	63
ASV1926	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	2	9	0	0	0	0	0	0	0	0	0	0	0	0	0	61	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	2	4	3	14	0	0	2	10	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1	0	7
ASV1927	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	93	2	0	0	2	0	0	1	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV1928	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	120	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ASV1929	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV1930	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV1931	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV1932	0	0	0	0	0	0	0	0	11	0	0	1	0	8	1	0	10	6	1	0	2	5	0	0	2	0	1	7	1	2	0	0	0	0	0	0	0	1	0	0	7	4	11	0	0	0	10	0	4	0	4	1	23	10	3	3	5	2	0	3	1	2	1	0	3	0	0	0	3	6	10	0	1	4	6	1	2	1	1	0	0	0	9	0	2	0	0	0	48	8	0
ASV1933	0	0	0	0	0	0	0	0	0	0	0	0	0	3	24	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	46	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0
ASV1934	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	3	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	3	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	66	9	0	0	0	1	1	1	0	0	0	0	0	4	0	0	0	3	0	0	0	0	0	2	0	3
ASV1935	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	86	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
ASV1936	0	0	0	0	0	0	0	13	0	0	0	0	0	2	0	0	0	0	7	0	0	7	0	0	0	0	0	5	1	0	0	0	0	0	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	67	0	0	0	0	0	0	0	0	14	6	0	0	0	0	10	0	0	0	0	0	1	0	0
ASV1937	0	0	0	0	0	0	0	15	0	0	3	0	0	8	0	0	0	0	8	0	0	14	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	4	0	0	0	0	3	0	0	1	0	0	1	0	0	0	0	0	46	0	3	0	0	0	0	0	0	16	19	0	0	0	0	6	0	0	0	0	0	0	0	0
ASV1938	0	0	0	0	0	0	0	0	69	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV1939	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	2	0	0	0	0	0	1	0	0	0	1	1	22	1	0	4	82	0	0	0	3	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	6	0	0
ASV1940	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	3	1	20	3	0	3	74	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0
ASV1941	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	7	9	0	0	0	0	0	0	3	0	0	0	15	0	0	6	0	0	0	0	0	1	2	0	0	1	0	4	0	2	1	0	0	0	0	0	0	0	0	12	53	0	0	0	4	6	0	0	0	3	0	0	0	0	1	0	0	0	1	2	0	2	0	0	0	0	5	2	1	7
ASV1942	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ASV1943	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	5	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	5	0	0	0	0	0	0	0	124
ASV1944	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0
ASV1945	0	0	0	0	0	0	0	2	0	0	1	0	1	5	1	0	0	1	0	0	3	3	0	31	0	0	0	0	0	3	2	0	5	0	2	4	0	0	0	0	1	1	1	0	0	0	1	1	6	1	0	0	5	2	2	0	0	0	1	0	2	0	0	0	1	0	0	0	0	0	1	1	0	1	4	0	2	0	1	0	1	0	0	0	0	4	0	0	0	2	4
ASV1946	0	0	0	0	0	0	0	7	0	0	1	0	0	4	0	0	0	1	2	0	2	0	0	27	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	11	14	4	0	0	0	0	0	0	1	5	3	0	0	6	0	0	0	0	0	5	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	4	12	6	0	0	9	3	0	0	3	0	3	0	3	0
ASV1947	0	0	0	0	0	0	0	0	0	0	0	0	14	0	2	0	0	0	0	11	0	0	0	0	0	13	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3	1	2	0	4	8	0	0	0	7	0	7	0	7	1	12	8	3	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	5	24	0	0	0	0
ASV1948	0	0	0	0	0	0	0	8	0	0	1	0	0	2	0	0	0	0	11	0	0	8	0	0	0	0	0	5	0	0	0	0	0	0	2	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	52	0	2	0	0	0	0	0	0	15	21	0	0	0	0	12	0	0	0	0	0	0	0	0
ASV1949	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV1950	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	5	0	0	0	0	0	16	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	6	0	0	0	6	0	11	0	6	0	13	11	3	0	0	0	0	1	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	8	0	0	0	0
ASV1951	0	0	0	0	0	0	0	0	108	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	15	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0
ASV1952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV1953	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV1954	0	0	0	0	0	0	0	0	0	0	0	0	4	0	4	0	0	0	0	12	0	0	0	0	1	25	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	3	0	0	0	9	0	8	0	17	5	10	11	3	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1	7	0	10	14	0	0	0	0
ASV1955	0	0	0	0	0	0	0	1	8	0	0	0	1	6	0	0	7	6	1	0	1	4	0	0	0	1	0	7	0	2	0	1	0	0	0	0	0	1	0	0	10	1	2	0	0	0	7	0	2	1	3	0	28	4	12	2	1	0	0	2	0	0	2	0	4	0	0	0	3	4	7	0	2	5	5	0	4	0	4	0	0	0	7	0	0	2	1	0	30	6	0
ASV1956	0	0	0	0	0	0	0	0	0	0	0	0	0	1	15	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	1	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	1	0	0	0
ASV1957	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	0	0	0	26	20	0	11	0	0	0	0	0	2	0	6	0	2	25	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	6	0	1	0	0	0	0	5	0	0	0
ASV1958	0	0	0	0	0	0	0	1	0	0	0	0	0	4	0	4	9	0	0	0	2	1	0	0	0	4	0	0	0	5	0	0	6	1	0	0	25	0	0	0	0	0	0	11	2	0	0	0	0	1	0	0	0	1	0	0	0	0	0	3	17	87	0	0	1	0	0	0	0	0	2	0	2	5	7	0	0	0	0	15	0	0	0	0	0	0	0	0	1	0	0
ASV1959	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	5	7	0	0	0	0	0	0	5	0	1	0	10	0	0	7	0	0	0	0	0	1	1	0	0	0	0	4	0	3	1	0	0	0	0	0	0	0	0	14	44	0	0	0	0	7	0	0	0	2	0	0	0	0	0	0	0	3	0	0	0	2	0	0	0	0	6	0	0	3
ASV1960	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV1961	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	2	0	24	3	2	4	89	0	0	0	2	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	9	0	0
ASV1962	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	22	0	0	0	0	0	0	0	0	21	1	5	65	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	5	0	0	2	0	0	0	0	0	0
ASV1963	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	117	0	0	0	0	0	0	0	5	0	2
ASV1964	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	27	7	28	0	2	0	0	0	0	0	9	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	20	0	0	0	0	0	0	9	0
ASV1965	0	0	0	0	0	0	0	2	0	0	2	1	1	0	1	1	0	0	0	16	2	0	0	0	0	0	0	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	1	0	0	0	0	0	1	4	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	3	73	3	2	0	0	10	0	0	0	0	0	0	0	0	0	0
ASV1966	0	0	0	0	0	0	0	0	76	0	0	0	0	5	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	3	2	0	0	0	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ASV1967	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	10	0	1	0	0	8	0	0	0	0	0	0	0	0	0	0	1	4	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	8	3	0	2	0	0	0	0	158	0	9	0
ASV1968	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	8	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	36	2	0	0	0	0	0	0	0	1	1	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
ASV1969	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	1	0	0	0	0	0	0	0	5	0	0	2	0	0	0	0	0	6	0	0	0	39	0	0	0	6	0	0	0	0	0	0	0	0	0	6	2	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	69
ASV1970	0	0	0	0	0	0	0	0	52	1	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	15	0	0	0	3	0	0	0	4	4	0	0	0	0	0	0	0	1	0	0	0	0	1	0	10	0	0	0	0	0	0	0	4	0	0	0	0	7	0	0	0	0	3	1	0	0	0	0	4	0	0	0	0	0	0	0	0	1	0
ASV1971	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	98	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	44	0	0	0	0	2	0	0
ASV1972	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	10	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	5	0	0	0	1	0	3	0	7	0	4	0	0	0	0	0	0	1	38	0	0	0	0	0	2	0	0	0	26	0	0	6	0	0	0	0	12	0	4	0	13	0	0	0	0	0	1	19	2
ASV1973	0	0	0	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	29	16	0	15	0	11	0	0	0	0	1	0	30	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV1974	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	16	12	0	0	0	0	0	0	7	0	0	0	9	0	0	6	0	0	0	0	0	1	2	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	6	41	0	0	0	1	10	0	0	0	0	0	0	0	0	1	0	0	3	0	1	0	0	0	0	0	0	0	2	2	0
ASV1975	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0
ASV1976	0	0	0	0	0	0	0	17	4	6	0	0	6	6	1	0	1	2	0	3	2	1	0	0	0	1	17	0	0	5	0	2	0	1	3	0	6	0	0	3	2	1	8	0	0	1	1	11	0	1	11	5	2	5	2	0	4	4	0	0	2	0	2	6	0	0	0	0	0	1	5	0	54	0	8	4	15	5	0	0	14	7	7	0	3	1	0	0	2	0	0
ASV1977	0	0	0	0	0	0	0	1	23	0	0	0	7	13	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	1	0	0	0	6	0	0	0	0	0	2	0	1	0	0
ASV1978	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	2	0	18	3	0	0	22	0	0	0	0	6	0	0	6	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	1	0	4	0	6	5	1	0	0	0	0	0	0	0	0	0	9	0	0	4	0	9	1	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	9	0	0	0
ASV1979	0	0	0	0	0	0	0	0	0	0	1	1	0	0	5	0	0	0	0	0	0	12	0	15	0	0	0	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	24	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	1	27	0	0	0	0	0	0	0	0
ASV1980	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	2	0	0	3	1	1	2	0	0	2	0	0	0	0	2	0	0	1	0	0	0	1	0	2	1	8	8	0	0	0	0	0	0	2	0	0	4	0	1	12	1	0	0	0	36	3	0	0	0	1	0	3	0	0	0	13	0	2	0	13	4	0	0	0	0	0	2	1	2	0	1	3	0	0	0	1
ASV1981	0	0	0	0	0	0	0	0	0	0	0	1	0	0	5	0	0	0	0	0	0	12	0	20	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	22	0	0	1	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	3	0	22	0	0	0	0	0	0	0	0
ASV1982	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	61	0	0	0	0	0	0	0	0	0	0	0	7	0	0	1	0	0	0	0	0	0	0	4	1	2	21	0	0	3	10	0	6	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0	10
ASV1983	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	1	96	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV1984	0	0	0	0	0	0	0	0	0	0	0	0	12	0	3	0	0	0	0	7	0	0	0	0	0	23	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	6	0	0	0	12	0	8	0	9	1	17	13	7	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	4	7	0	0	0	0
ASV1985	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	33	4	0	0	0	0	0	23	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	2	56	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	1
ASV1986	0	0	0	0	0	0	0	1	0	1	4	1	2	0	1	19	1	0	0	0	6	2	2	0	5	1	0	1	0	1	2	1	0	0	4	5	0	1	0	0	1	0	0	5	3	0	1	0	0	2	0	1	1	2	0	0	1	0	2	1	3	3	1	0	0	0	0	0	1	0	1	0	1	0	1	0	1	2	1	0	1	0	0	1	2	0	0	0	0	1	7
ASV1987	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	2	0	21	1	1	3	90	0	0	0	2	0	0	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	10	0	0
ASV1988	0	0	0	0	0	0	0	2	0	0	1	0	0	0	32	1	0	0	0	5	0	0	8	0	1	44	5	15	0	0	0	0	0	4	0	0	2	0	0	0	6	10	7	0	0	3	1	0	0	3	10	6	0	6	6	0	0	0	0	3	1	0	0	0	0	0	0	0	0	9	0	0	0	0	0	3	12	3	0	0	4	0	7	0	0	0	1	2	0	0	2
ASV1989	0	0	0	0	0	0	0	0	36	0	0	1	6	11	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	24	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	1	0	0	1	0	0	0	0	0	3	0	4	0	0
ASV1990	0	0	0	0	0	0	0	0	0	0	0	30	0	4	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	11	0	0	0	2	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	1
ASV1991	0	0	0	1	0	0	0	0	0	0	0	0	7	0	12	0	0	0	0	11	0	0	0	0	4	13	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	4	13	0	0	0	10	0	8	0	12	1	15	15	1	0	0	0	0	2	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	12	1	0	0	0
ASV1992	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	13	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	2	79	0	0	4	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0
ASV1993	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
