ASV	NTC	NTC	NTC	NTC	NTC	NTC	NTC	P2	D26	P27	P6	D6	V6	S6	V4	P9	S22	D2	P30A	V9	S13	S30A	D9	D13	V13	V23	V17	V16	D16	S17	P22	P17	D17	S9	P10	D22	S4	P5	P23	D23	V2	V5	V2_3	S2_2	D24	V24	S24	P26	S31	S27	S2	V27	S26	V10	V2_2	V30B	V78	V30A	P16	D30B	S10	D30A	S78	D31	P13	D4	D5	P76	D76	V76	S30B	P31	D78	S76	P78	P4	P2_2	P2_3	D2_2	D27	S23	P24	S2_3	V31	P30B	V26	V22	D10	S16	D2_3	S5
ASV26	0	0	1	3	0	0	0	4	0	2	1	98	76	589	0	0	5472	10	2	2	1788	10040	0	0	1	4	7	0	1	4	0	0	0	18	0	0	0	0	34	1	87	57	7126	0	0	2	6751	2	13	48	5131	292	2045	0	71	3	0	11	1	1	0	0	0	1	5	1	0	2	0	13	6410	1	0	2322	0	0	3	3	12	1	3	2	7600	0	0	5	3	0	5	14	0
ASV27	0	0	0	1	0	1	0	4	3488	0	0	348	2	1092	1	1	53	886	9	4	949	63	31	1802	0	1	0	0	598	1	0	1	0	54	2	13	1061	0	2	4648	3	6	932	25	2	1	918	3	2535	11	745	22	146	2	5	0	2	0	1	507	313	267	355	57	0	3153	4312	1	3156	3	1073	5	79	213	0	34	4	5	1001	2768	816	0	1030	1	0	0	0	283	3442	688	57
ASV28	0	0	1	8	0	3	0	7298	0	2019	2389	336	741	1334	0	1	2775	9	0	2	4761	0	0	3357	266	0	2	49	738	0	2320	4452	11	1	3064	1235	105	1206	3417	0	0	2	51	1	1	2	1740	6451	3578	1455	40	2487	1412	0	3	3	0	0	3613	4748	219	1	1	35	2218	1	6	6806	5	12	2628	0	1	0	8	817	6742	7735	4	4576	1528	14	81	749	1033	444	0	4951	344	0	112
ASV29	0	193	0	3	0	0	0	479	743	1585	16	25	324	477	69	247	115	1142	4	627	767	157	1016	1152	7	112	284	0	82	1437	8	2822	58	1371	167	3	2382	97	1918	816	186	175	1539	343	0	145	260	1145	393	395	2332	894	1581	565	176	10	25	51	212	15	545	253	238	3759	161	49	161	20	22	1	562	29	1701	19	203	98	608	432	1043	289	3447	2183	1164	18	31	18	0	2551	365	1395	347
ASV30	0	0	2	4	0	0	0	3	0	2	1	53	42	444	0	0	3970	5	1	0	1346	7211	1	1	0	9	0	0	0	7	0	0	4	12	0	0	1	1	32	0	64	48	5276	1	0	0	4875	3	6	40	3965	225	1439	1	47	2	0	6	1	4	0	0	1	1	4	0	1	1	0	0	4658	0	1	1689	1	0	4	6	8	0	1	0	5698	1	0	2	3	0	1	12	0
ASV31	0	0	0	5	0	0	0	4	0	0	0	74	40	424	0	0	3900	4	0	1	1253	7271	0	0	0	5	3	0	0	3	1	0	0	14	0	0	1	0	37	0	78	46	5326	2	0	1	4978	0	16	36	3861	214	1470	0	45	2	0	9	0	3	0	0	0	0	5	1	1	1	1	3	4585	0	2	1696	3	0	3	4	9	0	1	0	5515	0	0	2	0	0	2	13	0
ASV32	1	0	3	4	0	0	0	5	1	0	0	50	46	380	0	0	3298	4	2	1	1037	6132	0	0	0	2	4	2	1	7	2	0	2	7	0	4	0	0	28	0	48	30	4533	0	0	0	4265	1	7	34	3218	181	1174	0	30	3	0	6	0	1	0	0	0	0	2	0	1	1	0	4	3873	0	0	1444	1	1	2	5	7	0	1	3	4691	2	0	2	3	0	0	11	1
ASV33	0	142	0	1	0	0	0	350	471	1133	15	14	241	335	48	194	73	839	8	449	522	112	695	833	0	86	224	0	65	1036	7	1967	38	1001	108	4	1620	69	1371	527	147	131	1058	257	0	85	207	822	290	255	1580	625	1160	447	126	4	24	31	143	4	369	145	183	2652	98	26	126	14	18	1	397	23	1151	13	142	71	456	272	697	202	2420	1562	899	13	21	11	0	1815	226	982	243
ASV34	0	0	1	0	0	0	0	0	0	1830	854	1072	17	218	186	1028	130	1359	0	1	6	0	0	3	1	0	2	1238	2820	2	14094	51	0	2	2004	161	104	1750	0	0	7	2	10	0	21	92	24	0	176	0	9	0	1	0	3	0	0	0	2372	7	499	0	0	27	0	2	71	0	0	3914	10	401	0	706	549	1933	0	0	1630	0	78	0	11	1	1	113	0	3	0	1220	770
ASV35	0	168	0	0	0	1	0	376	578	1384	19	18	232	388	68	176	71	887	6	536	574	140	821	946	5	81	239	0	81	1232	12	2192	46	1086	151	9	1909	64	1573	617	164	144	1260	307	0	119	221	889	351	290	1722	743	1282	492	150	3	15	33	174	4	409	225	195	2891	118	35	130	18	17	3	381	25	1302	17	170	75	462	321	817	223	2845	1758	924	21	27	7	0	1966	241	1097	261
ASV36	1	0	0	0	0	1	0	4	2843	0	0	292	0	870	1	0	44	712	8	3	751	43	38	1491	0	6	0	0	572	1	0	1	0	36	0	13	856	0	0	3921	3	1	770	26	1	0	738	0	2143	6	609	24	120	4	3	0	7	0	1	421	260	254	328	44	1	2622	3467	0	2483	0	877	6	67	167	1	38	4	6	806	2457	637	0	857	1	0	0	0	215	3058	572	41
ASV37	0	0	0	3	0	0	0	0	332	0	0	0	0	0	2	0	0	3108	0	0	0	73	0	0	0	0	0	0	0	1	0	0	0	18	0	0	8	0	0	0	0	0	540	0	0	0	0	2	13	6	391	20	33	0	0	32	0	3886	0	0	0	0	0	4472	0	810	159	0	6	0	18	0	1	0	0	0	0	0	3232	0	0	0	658	174	0	0	0	0	0	3172	474
ASV38	24	0	0	1	0	1	0	1	0	1	2823	849	165	83	391	634	53	175	0	0	1	0	0	0	0	0	0	0	2415	0	22	375	0	0	1822	1332	2	2478	0	0	11	8	16	0	4	26	0	1	273	0	5	1	0	0	16	53	0	0	5437	1	1532	0	1	35	0	25	1164	0	0	3	6	6842	0	286	600	1120	0	0	165	0	96	0	14	0	0	64	0	149	1	70	1103
ASV39	0	0	0	0	0	0	0	0	0	1436	699	822	17	197	167	792	89	999	0	0	6	0	0	8	1	0	1	978	2170	2	11136	32	0	0	1514	116	83	1329	0	0	4	6	4	0	21	65	8	0	142	0	5	0	0	0	4	2	0	0	1878	1	417	0	1	18	3	2	49	0	0	3106	17	333	1	545	471	1507	0	0	1279	0	53	0	10	1	1	91	0	4	2	904	632
ASV40	1	0	0	0	0	0	0	0	0	1251	534	649	17	144	134	681	88	852	0	0	3	0	0	2	0	0	1	831	1841	1	8967	33	0	0	1290	88	62	1121	0	0	9	3	9	0	27	56	11	1	100	0	1	0	2	0	4	0	1	0	1562	3	320	0	0	7	1	1	50	0	1	2688	5	285	0	464	461	1301	1	0	1058	0	45	0	11	0	2	68	0	1	2	772	524
ASV41	0	0	0	0	0	0	0	0	0	1501	671	797	15	210	163	847	107	1131	0	0	6	0	1	8	0	0	0	925	2318	3	10790	30	0	1	1606	111	79	1380	0	0	3	3	4	0	26	96	14	1	146	0	9	1	4	0	8	0	0	0	1888	3	424	0	1	13	1	0	67	0	0	2985	12	354	0	549	493	1464	0	0	1265	0	70	0	9	0	2	81	0	0	0	961	620
ASV42	15	0	0	1	0	0	0	0	0	1	2219	582	127	79	326	505	50	104	0	0	1	0	0	0	0	0	0	0	1852	0	6	269	0	0	1421	979	0	1950	0	0	14	7	4	0	1	25	0	0	191	0	5	0	3	0	6	48	0	0	4159	1	1255	0	0	18	0	23	942	0	0	8	9	5264	0	240	473	818	0	0	143	0	86	0	8	0	0	52	0	111	2	69	815
ASV43	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	219	3237	2002	1	15	0	1	0	0	0	0	0	0	0	1704	150	184	6	78	0	0	0	1	60	0	3	1	1	0	249	0	0	0	0	0	0	0	0	14	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	991	0	5	4667	0	0	0	0	73	0	0
ASV44	0	0	0	0	0	0	0	0	0	1388	621	717	13	167	169	753	91	932	0	0	6	0	0	4	1	0	0	892	1987	1	9822	25	0	0	1427	84	77	1223	0	0	7	3	5	0	14	55	16	0	112	1	6	0	0	0	6	0	0	0	1710	3	395	0	0	16	2	0	51	0	0	2782	13	303	0	514	427	1338	1	0	1169	0	51	0	9	0	0	80	0	0	1	887	578
ASV45	0	113	0	1	0	1	0	269	416	912	11	14	174	279	58	133	44	646	2	370	409	101	625	652	4	58	164	0	54	787	9	1451	43	802	101	6	1405	43	1089	430	112	103	847	204	1	72	139	720	267	217	1353	495	976	334	115	4	13	26	105	6	293	134	142	2066	87	28	90	12	14	0	291	19	981	12	103	61	338	242	579	158	1935	1237	648	7	18	5	1	1357	189	779	171
ASV46	20	0	0	1	0	0	0	0	0	2	2166	628	115	84	272	533	38	130	2	0	0	0	0	1	0	0	1	1	1788	0	10	258	0	0	1411	912	0	1855	0	0	8	6	4	1	2	14	0	0	237	0	4	0	2	0	11	48	0	0	4151	0	1277	0	0	26	0	18	912	0	0	7	9	5690	0	213	512	837	0	0	128	0	75	0	15	0	0	59	0	127	3	73	803
ASV47	0	0	0	1	0	0	0	0	0	1007	474	576	17	133	104	588	83	836	0	0	2	0	0	2	1	1	1	761	1587	0	7629	23	0	0	1068	65	61	923	1	0	5	2	6	0	17	46	12	0	85	0	2	0	3	0	0	0	0	0	1348	4	280	0	0	6	0	2	52	0	0	2223	10	240	0	399	358	1110	0	0	869	0	43	0	9	0	0	50	0	4	1	673	438
ASV48	0	0	0	0	0	1	0	20	0	6	1	0	0	14	44	163	5	129	448	161	29	179	46	31	2	2	4	0	3	22	0	7	3	20	37	3	105	1	56	20	3224	3343	12	784	166	7	3	0	5	6	10	8	0	56	3665	45	16	8	15	59	43	685	33	19	4	192	1299	0	388	7	18	1	409	9	26	179	26	27	144	29	42	17	13	2	3	1	2	117	12	96	119
ASV49	14	0	0	0	0	1	0	1	0	0	1819	480	115	64	269	450	61	90	1	0	0	0	0	0	0	0	0	1	1475	0	14	224	0	1	1203	812	0	1474	0	0	14	4	3	0	1	23	0	0	158	1	4	0	1	0	7	33	0	0	3503	0	1036	0	0	24	0	20	774	0	0	3	7	4634	0	210	404	717	0	0	105	0	66	0	5	0	1	39	0	105	3	45	649
ASV50	0	0	1	0	1	0	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	193	2550	1574	0	15	0	0	0	0	0	0	0	0	0	1393	111	156	6	34	0	1	0	0	31	0	1	1	0	0	196	0	0	1	0	0	0	0	0	15	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	715	0	6	3708	0	1	0	0	61	0	0
ASV51	20	0	0	0	0	1	0	0	0	0	2056	556	130	54	292	486	36	92	0	0	0	0	0	0	0	0	0	0	1597	0	10	247	0	1	1243	816	0	1720	0	0	9	7	1	0	0	17	0	0	188	0	1	0	0	0	6	40	0	0	3757	0	1068	0	1	16	1	10	855	0	0	0	4	4811	0	184	419	743	1	0	127	0	72	0	7	0	2	50	0	110	2	64	710
ASV52	0	0	0	0	0	0	0	0	0	1061	510	582	3	133	132	583	62	758	0	0	1	0	0	1	0	0	0	668	1631	0	7851	24	0	1	1079	64	55	943	0	0	4	3	3	1	25	46	9	0	107	0	2	0	1	0	6	0	0	0	1350	2	291	0	0	9	0	1	40	0	0	2234	2	225	0	392	421	1035	0	0	884	0	35	0	4	0	0	57	0	0	1	660	456
ASV53	0	0	0	2	0	0	0	0	234	0	0	0	0	0	0	0	0	2342	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	19	0	0	9	0	0	0	0	0	427	0	0	0	0	0	7	5	297	16	22	0	1	27	0	3022	0	0	0	0	0	3499	0	705	126	0	4	1	15	0	0	0	0	0	0	0	2767	0	0	0	494	126	0	0	0	0	0	2425	343
ASV54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	161	2286	1401	1	11	0	0	0	0	0	0	0	0	0	1227	83	136	3	49	0	0	0	0	36	0	2	2	0	0	181	0	0	0	0	0	1	0	0	10	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	680	0	0	3297	0	0	0	0	51	0	0
ASV55	0	0	0	0	0	0	0	0	0	892	381	501	10	109	83	551	56	587	1	0	6	0	0	1	0	0	1	555	1370	0	6584	20	0	0	949	77	51	811	0	0	3	4	2	0	7	49	5	2	100	0	0	0	3	0	4	0	0	0	1109	5	247	0	0	8	0	0	39	0	0	1942	9	194	1	340	322	903	0	0	726	0	29	0	6	0	0	50	0	0	0	572	351
ASV56	0	0	0	0	0	0	0	0	0	1523	0	0	0	1	0	103	1	0	0	4	4	0	22	0	0	0	1	22	0	0	1	0	0	26	0	0	0	5298	0	79	1	0	0	0	0	17	0	1305	26	0	0	0	4	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	199	0	0	0	0	0	0	0	0	0	263	0	0	0	7928	1	0	0	5	0	1
ASV57	0	0	0	5	0	0	0	0	247	0	0	0	0	0	1	0	0	2394	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	11	0	0	9	0	0	0	0	0	410	0	0	0	0	0	12	3	328	21	26	0	0	21	0	2926	0	0	0	0	0	3387	0	659	121	0	3	0	14	0	0	0	1	0	0	0	2704	0	0	0	504	123	0	0	0	0	0	2482	320
ASV58	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	171	2595	1492	0	26	0	0	0	0	0	0	0	0	0	1343	95	132	6	50	0	0	0	1	48	0	8	0	0	0	167	1	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	774	0	5	3767	0	0	0	0	45	0	0
ASV59	16	0	0	0	0	1	0	0	0	0	1579	471	78	60	233	399	32	89	1	0	0	0	0	0	0	0	0	0	1343	0	8	192	0	0	926	716	0	1300	0	0	11	4	3	0	0	16	0	0	155	0	2	0	0	0	5	32	0	0	3017	2	941	0	0	19	0	9	629	0	1	0	6	3967	0	153	341	634	1	0	81	0	59	0	5	0	0	41	0	76	2	41	599
ASV60	16	0	0	1	0	0	0	0	0	0	1510	402	96	46	227	350	48	82	0	0	0	0	0	2	0	0	0	2	1300	0	5	204	0	1	1121	708	0	1407	0	0	6	6	2	0	1	12	0	0	159	0	6	0	3	0	5	33	0	0	2979	0	889	0	0	15	0	19	704	0	0	3	3	3692	0	138	387	634	0	0	92	0	50	0	5	0	0	43	0	89	1	53	589
ASV61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	150	2229	1258	0	12	0	0	0	0	0	0	0	0	0	1129	109	116	1	54	0	0	0	1	27	0	7	1	1	0	152	1	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	639	0	7	3105	0	0	0	0	43	0	0
ASV62	12	0	0	0	0	0	0	0	0	0	1303	359	82	42	186	326	32	78	1	0	1	0	0	0	0	0	0	1	1116	0	9	167	0	0	811	558	0	1141	0	0	11	6	7	0	1	12	0	0	147	0	0	0	2	0	10	36	0	0	2424	0	752	0	1	10	0	16	573	0	0	4	6	3360	0	125	283	532	0	0	83	0	41	0	2	1	0	33	0	78	0	42	510
ASV63	0	0	0	3	0	0	0	0	219	0	0	0	0	0	2	0	0	2206	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	10	0	0	5	0	0	0	0	0	389	0	0	0	0	0	4	4	284	19	31	0	0	20	0	2623	0	0	0	0	0	3062	0	617	93	0	3	0	10	0	0	0	0	0	0	0	2517	0	0	0	512	126	0	0	0	0	0	2284	298
ASV64	0	0	0	0	0	0	0	13	0	9	6	0	3	7	25	134	3	100	342	113	21	143	39	27	1	4	1	0	0	13	0	14	2	8	29	3	69	1	57	12	2619	2618	10	644	139	4	1	0	5	3	9	6	0	32	2921	34	12	13	7	59	43	525	21	16	2	152	1033	0	319	7	6	3	301	7	23	161	23	21	96	30	40	12	13	2	1	2	1	85	3	81	94
ASV65	0	0	0	0	0	0	0	0	461	0	0	0	0	406	0	0	0	0	0	0	1	0	992	5	0	0	0	0	2	0	0	0	0	623	0	0	0	0	0	6051	0	0	0	0	0	0	0	0	3347	0	0	0	2	0	0	0	0	0	0	1	2188	0	0	22	0	0	3	0	744	1	0	0	0	1	0	0	0	0	0	0	5	0	0	0	0	0	0	92	147	0	0
