OTU	NTC	NTC	NTC	NTC	NTC	NTC	P2	D26	P27	P6	D6	V6	S6	V4	P9	S22	D2	P30A	V9	S13	S30A	D9	D13	V13	V23	V17	V16	D16	S17	P22	P17	D17	S9	P10	D22	S4	P5	P23	D23	V2	V2_3	S2_2	D24	V24	V5	S24	P26	S31	S27	S2	V27	S26	V10	V2_2	V30B	V78	V30A	P16	D30B	S10	D30A	S78	D31	P13	D4	D5	P76	D76	V76	S30B	P31	D78	S76	P78	P4	P2_2	P2_3	D2_2	D27	S23	P24	S2_3	V31	P30B	V26	V22	D10	S16	D2_3	S5
OTU25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU26	2	0	0	0	0	3	0	21	0	1	8	0	111	14	4	44	17	0	4	4	8	55	3	0	69	0	0	2	340	0	0	118	998	0	0	885	1	0	32	5	3	228	138	0	0	1486	0	17	4	159	8	6	7	5	0	0	0	5	23	44	86	15081	0	0	825	612	14	8	0	257	0	0	6291	0	1	0	0	19	25	1334	1	287	0	0	0	0	0	722	12	4064
OTU27	85	0	273	0	0	0	734	6039	354	114	23	162	796	157	98	121	302	73	45	237	864	36	558	32	18	1889	230	44	524	741	68	50	80	201	137	620	6	15	912	388	324	642	91	110	52	113	535	170	88	787	94	916	220	379	1218	322	286	14	281	196	125	288	151	330	1	6	90	7	105	539	30	3556	471	1150	259	876	656	263	0	290	346	470	36	1052	113	385	125	128	390	39
OTU28	0	0	0	0	0	0	0	4298	0	0	239	0	3408	0	0	409	64	0	0	99	11	8	106	2	0	0	2	1071	99	0	0	2	14	1	36	267	0	1	1632	1	0	6	14	1	3	90	1	252	21	6	62	522	0	0	0	0	0	64	671	62	171	247	3	0	129	366	1	10534	0	462	0	45	2580	5	2	0	0	36	522	89	1	6	0	1	0	0	0	16849	43	60
OTU29	0	0	0	0	0	0	10	0	2	0	0	0	15	42	21750	895	1	19	20	272	20	1	1	0	0	0	0	1	1	8	0	1	219	0	18	24	3	1440	10	10	10	24	0	0	7	311	0	9	1	26	10	19	0	8	4	0	0	0	11	7	135	120	2	0	0	0	0	38	0	458	1	17	132	14	993	6	5	5	0	316	16	25	1	0	0	0	0	21	9	47
OTU30	0	1	0	88	0	0	0	0	0	0	233	16	0	4	1691	0	0	1611	383	0	5	0	1	2271	294	0	0	0	0	0	0	0	0	2	0	0	368	0	1	2	3	47	180	1	2920	0	0	0	0	43	0	7	0	2	558	4391	886	1661	0	1	3	0	0	8240	0	0	631	0	0	0	6	0	0	0	10	0	0	0	0	0	0	58	3997	1	0	0	0	0	0	0
OTU31	0	0	0	0	0	0	307	14	84	9	16	19	18	28	6	17	210	53	8	36	27	20	64	0	11	17	46	0	27	27	29	25	9	2	3	92	4	253	75	21036	14998	66	9	12	68	7	3	25	10	48	17	6	12	16175	18	25	4	0	4	17	133	12	50	52	29	479	11	18	17	70	2	36	52	109	122	279	300	213	2	100	29	99	72	20	102	355	39	19	143	25
OTU32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	65	0	0	0	2	0	21628	0	0	0	0	0	0	0	1661	0	52	44	0	82	0	0	0	0	0	0	0	1	7	0	0	0	0	0	3	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	58	1	0	0	0	0	0	3332
OTU33	1	1	1	0	0	0	211	2269	18	19	61	14	213	545	24	309	540	1	60	53	107	383	491	0	0	0	6	37	1431	2	154	1577	609	21	16	1350	6	267	192	628	514	416	362	16	36	1078	62	88	54	493	131	975	83	488	6	59	0	57	1931	848	864	948	297	7	40	396	18	26	5	121	40	137	569	57	18	244	229	460	504	1991	3	476	1	2	0	2	336	274	679	908
OTU34	0	0	0	0	0	0	0	3	0	15	5	1	264	123	1	822	76	0	1	8	826	62	22	0	22	0	0	11	2782	0	7	2874	172	21	3	330	0	9	45	6	7	240	46	1	2	538	0	93	11	141	38	33	14	6	0	6	1	12	37	1811	675	6606	0	0	802	813	4	19	0	632	6	11	668	10	4	1	0	73	13	1060	0	330	1	0	0	0	43	757	74	875
OTU35	0	0	3	0	0	0	33	11	0	0	2	0	466	3	6	112	241	1	13	173	24	276	0	0	116	1	0	7	17	0	0	2	1186	6	0	1099	2	1	17	127	99	1916	38	2	0	5216	1	22	2	1271	25	0	11	102	0	0	1	2	13	3325	50	110	0	0	7	7978	3	3	0	1671	0	4	3	0	0	28	48	297	6	383	1	2353	0	0	0	0	54	59	172	20732
OTU36	0	0	0	0	0	0	3371	2	0	0	0	0	0	0	0	0	1681	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	40	969	175	0	3	1	0	0	42	0	1540	0	0	0	0	0	0	0	0	2	4	0	1	0	0	1	0	0	0	0	93	0	0	0	4097	3831	1513	0	0	0	32	0	0	261	0	0	0	1665	0
OTU37	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	477	0	0	0	133	2	59	301	0	0	0	0	0	17	0	0	43	318	4	39	2161	0	0	0	11	9	98	5	0	0	262	0	1	0	36	1	1008	0	6	0	0	0	0	0	9053	0	4	0	0	63	0	1	643	0	848	3	0	2393	0	6	0	0	0	0	292	1	86	0	0	0	0	52	416	3	0
OTU38	0	0	0	0	0	0	0	193	0	0	0	0	0	0	0	8	0	12	0	0	269	0	120	0	0	0	0	1	612	0	5	1261	8	0	33	576	0	0	591	0	0	1	1501	0	1	19	0	14	7	0	26	0	0	0	0	2	1	1	10	211	8596	251	3	1	8	0	0	2667	0	5	0	3920	253	69	10	0	0	0	14	52	0	0	0	0	0	0	0	26	0	0
OTU39	0	0	1	0	0	0	2	0	0	4	0	0	10	115	0	0	0	2	1	0	0	0	1	0	0	0	0	0	0	3	0	1	0	1	0	34	2	1	0	251	170	111	0	0	0	2	0	16	0	127	1	15	612	185	0	401	0	0	2	1	0	2	0	1	0	7	0	1	0	0	0	0	0	32521	14683	0	0	0	0	10	0	115	1	0	0	0	0	0	0	1
OTU40	0	0	0	0	0	0	32	106	138	0	0	0	0	10	71	0	0	0	145	322	0	4638	0	0	33	0	0	0	297	0	284	0	3850	2	0	125	11	2	2	0	0	0	2	0	8	0	1	18	0	0	0	1	0	0	0	0	0	14	0	970	0	0	37	0	0	7	0	0	0	0	0	0	0	0	0	31	10	0	0	940	238	0	0	0	0	0	0	0	0	387
OTU41	0	0	1	0	0	1	364	0	111	89	23	211	523	39	166	190	677	0	8	437	5	427	52	1	20	0	2	3	106	26	133	9	1049	26	0	78	2	6	112	2597	1246	995	75	0	28	264	135	804	25	657	161	2290	250	1289	0	0	0	124	646	700	0	119	447	224	0	23	292	293	17	284	43	6	192	7	12	283	397	1293	0	1669	14	1337	35	1	92	0	137	21	578	2416
OTU42	0	0	0	0	0	0	7	397	0	9	69	16	167	10	0	183	488	5	22	171	59	283	46	0	8	0	0	199	239	7	1	128	39	21	8	4	5	16	231	20	12	130	31	7	6	66	0	103	2	95	19	86	102	23	3	9	3	86	8417	49	37	57	99	6	2	1470	3	84	7	289	6	67	46	5	3	15	7	609	464	104	0	149	2	0	17	1	559	234	267	23
