OTU	NTC	NTC	NTC	NTC	NTC	NTC	P2	D26	P27	P6	D6	V6	S6	V4	P9	S22	D2	P30A	V9	S13	S30A	D9	D13	V13	V23	V17	V16	D16	S17	P22	P17	D17	S9	P10	D22	S4	P5	P23	D23	V2	V2_3	S2_2	D24	V24	V5	S24	P26	S31	S27	S2	V27	S26	V10	V2_2	V30B	V78	V30A	P16	D30B	S10	D30A	S78	D31	P13	D4	D5	P76	D76	V76	S30B	P31	D78	S76	P78	P4	P2_2	P2_3	D2_2	D27	S23	P24	S2_3	V31	P30B	V26	V22	D10	S16	D2_3	S5
OTU138	0	0	0	0	0	0	0	520	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	362	0	0	2	18	0	0	38	0	1	129	1	187	5	266	0	0	0	0	0	0	2	102	0	0	0	0	0	0	1	0	0	0	0	112	0	0	0	0	0	28	12	0	2	0	0	0	0	0	0	0	0
OTU139	0	0	0	0	0	0	0	0	0	0	0	140	0	56	0	0	0	0	334	0	0	0	0	75	264	3	92	0	0	0	0	0	0	0	0	0	0	0	0	14	21	1	0	40	189	0	0	1	100	3	109	0	69	20	219	137	69	0	0	0	0	0	0	0	0	0	0	0	141	0	0	0	0	0	2	0	0	0	0	0	0	2	47	0	183	81	3	1	0	0
OTU140	0	0	0	0	0	0	0	3204	11	0	8	0	7	1	0	62	0	0	5	22	1	4	367	0	0	0	0	2	27	1	3	3	1	1	0	6	0	0	30	0	0	1	11	0	0	8	1	24	1	3	6	3	1	0	1	1	1	0	26	22	1	10	0	3	90	32	0	5	0	5	1	3	6	0	0	1	1	9	103	5	0	3	0	0	0	0	75	1	0	2
OTU141	0	0	0	0	0	0	19	0	2	0	263	3	40	2	19	56	12	0	0	73	0	0	35	0	0	0	0	0	14	1	0	0	0	11	0	17	0	3	90	0	0	23	14	4	0	26	0	266	0	6	1	0	1	0	0	2	0	3	13	27	0	3	2	8	0	99	4	21	0	105	3	0	91	0	0	17	27	9	3	8	1	25	1	0	4	47	37	2	16	72
OTU142	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	18	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	1	20	11	7	0	0	247	0	0	0	0	1	0	3	0	248	15	88	591	107	0	0	0	4	0	0	0	0	0	0	0	0	0	0	99	0	0	0	2	0	0	0	0	39	0	2	4	0	0	0	0	0	0
OTU143	0	0	0	0	0	0	0	0	0	0	0	0	11	30	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	3	0	0	0	0	0	2	0	0	0	0	0	0	0	3	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1325	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
OTU144	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	242	123	247	0	6	0	0	0	0	0	151	0	0	0	189	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	176	0	0	0	276	0	0	0	0	0	0	91	0
OTU145	0	0	0	0	0	0	29	0	1	13	5	2	3	18	3	0	0	0	64	18	0	0	0	0	0	0	30	0	65	0	0	0	0	0	0	0	0	0	0	6	1	3	0	0	4	0	31	4	3	4	9	0	0	1	3	0	0	73	0	2	0	0	1	157	0	0	0	0	0	0	0	0	0	6	795	36	23	0	0	78	0	5	3	0	3	0	0	0	0	0
OTU146	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	57	0	0	0	644	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	174	0	0	114	0	0	0	0	0	0	360	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
OTU147	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	252	0	0	5	0	0	0	0	0	0	0	0	0	0	1537	0	0	161	0	0	0	0	0	371	0	159	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1017	0	202	77	0	0	0	0	40	0	0
OTU148	0	0	0	0	0	0	2	0	0	0	3	0	2	0	3	205	85	1	29	3	0	9	0	0	0	0	0	0	4	14	0	4	0	0	3	5	0	0	0	2	1	3	0	0	0	8	0	7	0	3	3	0	12	1	0	0	0	0	0	32	0	0	0	14	943	0	1	33	0	19	1	0	0	0	0	0	0	63	0	6	12	2	0	0	0	0	84	0	80	0
OTU149	0	0	0	0	0	0	0	393	0	0	0	1	0	0	0	0	0	86	0	0	50	0	0	0	0	0	0	0	17	0	2	362	0	0	0	0	0	17	23	0	0	0	0	8	0	0	0	0	0	0	0	0	1	0	0	7	1	0	159	0	61	8	0	0	0	0	1	0	0	8	0	91	0	0	0	0	0	0	0	18	2	0	0	32	0	0	0	0	0	42
OTU150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1544	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU151	0	0	0	0	0	0	0	0	15	0	0	0	17	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	25	0	0	0	0	0	0	3	0	9	4	0	2	0	24	0	5	0	0	6	93	0	0	3	0	10	0	0	0	0	0	26	0	897	0	10	12	0	0	0	0	4	0	0	1	0	14	0	9	0	0	0
OTU152	0	0	0	0	0	0	114	0	0	7	0	0	31	0	0	0	0	66	0	0	72	0	0	0	0	0	61	3	0	0	0	0	0	8	0	0	0	0	0	0	0	56	0	0	0	0	0	0	0	50	0	0	0	1	7	0	2	6	0	0	6	0	0	0	0	0	485	0	14	0	0	0	0	0	0	141	109	0	0	0	0	71	0	1	0	0	0	3	0	0
OTU153	0	0	0	0	0	0	0	0	0	1	0	0	93	0	0	0	0	4	0	159	350	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83	0	0	1	0	0	1	0	0	0	4	0	111	1	2	12	125	0	0	0	0	2	1	11	0	42	10	0	0	0	62	0	0	0	15	0	0	7	0	0	0	0	0	0	59	0	2	0	0	0	0	0	0	0	0
OTU154	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	20	0	0	2	424	5	0	0	0	0	1	0	0	3	0	0	0	36	0	0	7	0	0	0	1	0	0	1	0	0	10	0	0	0	1	3	23	0	1	0	0	0	0	0	11	20	0	0	0	0	9	0	0	19	61	0	0	26	0	0	0	0	0	0	1	0	2	0	0	0	0	0	843	0	9
OTU155	0	0	0	0	0	0	0	122	0	0	0	0	3	1	0	0	0	5	0	6	11	0	136	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	89	0	0	8	0	0	52	0	57	88	0	0	0	0	0	1	0	0	39	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	407	0	0	0	0	0	0	0	0	0	0	0
OTU156	0	0	0	0	0	0	0	18	0	0	4	19	4	0	6	3	250	0	1	151	0	0	176	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	64	36	17	13	1	0	13	0	6	16	5	25	26	3	34	0	1	0	0	0	13	0	10	63	0	0	0	1	21	4	0	10	5	31	0	2	0	0	417	0	5	0	17	0	0	2	0	0	0	160	1
OTU157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	34	0	0	0	879	0	0	0	101	0	0	0	1	0	0	0	28	11	0	0	0	0	0	0	0	0	0	0	0	0	0	133	0	0
OTU158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	4	0	204	7	0	0	0	0	0	164	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	1	0	0	29	0	5	520	0	0	0	0	0	0	0	0	0	0	0	0	64	2	0	0	0	0	0	0	0	0	0	6
OTU159	0	0	0	0	0	0	0	0	0	0	0	1	3	0	529	0	0	550	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	5
OTU160	0	0	0	0	0	0	0	0	0	0	44	0	0	1	0	0	80	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	4	0	0	2	0	0	0	0	0	0	0	0	0	1372	0	0	0	0	0	0	0	0	0	1	1	0	0	86	0	0	0	2	0	0	0	0	0	0	88	0
OTU161	0	0	0	0	0	0	3	2	1	3	0	3	1	2	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	3	0	2	1	0	0	0	0	0	1793	673	8	1	6	0	0	1	5	1	1	4	1	0	854	0	0	0	1	0	2	3	0	0	3	2	0	0	0	3	1	0	0	0	1	0	2	2	0	1	0	0	6	0	0	0	0	0	0	2	3
OTU162	0	0	0	0	0	0	0	0	2	0	0	0	9	0	0	0	0	0	0	0	2	0	0	0	0	0	9	0	4	0	0	0	0	2	0	19	0	0	0	0	0	34	0	0	0	105	2	101	21	20	51	1335	0	0	0	22	1	9	0	39	0	10	0	0	0	0	0	0	0	4	0	0	38	1	0	0	0	0	0	0	0	39	3	0	37	0	0	58	0	9
OTU163	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	24	0	0	0	0	106	0	43	19	8	56	0	3	0	0	0	0	0	0	0	0	0	0	566	454	10	0	0	0	2	0	0	1	9	2	0	0	457	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	19	0	277	0	8	0	0	0	3	0	10	0	24	0	0	1	12	0	0	3	0
OTU164	0	0	0	0	0	0	5	0	0	2	2	0	0	5	0	0	0	0	41	2	1	0	0	4	20	3	275	1	0	0	0	0	0	0	1	1	0	0	0	194	130	2	0	0	33	4	43	0	20	7	30	0	29	133	0	0	1	0	0	1	17	0	2	13	0	0	1	0	32	0	0	0	0	3	0	5	1	2	0	1	1	6	1	2	0	1	0	2	0	1
OTU165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	497	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	583	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	322	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1108	18	0	0	0
OTU167	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	7	0	0	0	0	8	2	0	0	0	0	0	0	207	0	0	1030	0	0	0	19	0	0	0	0	0	0	16	0	0	3	0	0	3	0	2	0	0	0	0	0	0	0	0	0	27	5	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	6	0	0
OTU168	0	0	0	0	0	0	24	7	0	1	10	2	37	91	4	6	0	3	0	0	39	2	0	1	17	3	1	0	28	0	7	2	5	2	12	11	1	0	30	46	39	6	2	3	2	1	1	1	1	16	13	56	184	51	6	9	4	1	9	8	0	22	0	27	0	26	5	1	5	48	0	1	37	24	38	39	21	1	1	96	5	10	0	1	2	20	88	1	1	5
OTU169	0	0	0	0	0	0	0	0	8	0	3	0	10	1	0	5	3	1	0	9	2	0	2	0	6	0	0	7	0	0	0	2	0	2	0	1	0	0	60	0	2	8	1	0	0	3	0	9	0	2	1	0	0	1	0	0	0	5	0	3	0	10	0	0	272	293	0	0	0	6	1	9	0	0	0	0	2	1	1	18	0	1	0	0	0	0	1	1	27	3
OTU170	0	0	0	0	0	0	6	0	3	0	0	0	4	11	0	10	0	0	9	0	9	7	0	0	2	0	22	0	62	14	0	131	15	0	0	16	0	1	1	5	2	2	4	8	0	4	5	23	0	8	2	7	7	6	2	1	0	0	0	6	133	4	22	10	0	0	0	3	0	0	1	0	6	0	0	4	10	0	0	8	0	4	4	0	0	141	2	0	3	23
OTU171	0	0	0	0	0	0	16	0	0	5	0	0	7	123	8	0	0	0	41	1	0	45	0	3	163	21	83	0	0	0	0	0	23	0	0	19	0	0	5	35	30	32	0	0	20	1	0	0	17	28	28	0	26	29	1	0	0	0	12	2	0	0	0	0	0	0	0	0	38	0	0	0	0	0	11	22	18	0	0	18	0	36	1	0	1	3	4	0	1	3
OTU172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	241	0	0	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	616	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	831	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU174	0	0	0	0	0	0	1	0	1	0	0	0	1	2	4	0	5	25	1	202	204	0	0	3	9	0	22	0	6	15	12	0	0	0	0	28	0	0	0	0	1	1	0	1	0	1	13	10	18	4	41	0	0	1	0	165	0	1	0	1	0	2	0	12	0	0	39	0	2	0	0	0	12	0	0	1	7	5	0	5	0	1	0	0	17	0	0	0	16	0
OTU175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	763	0	1	0	0	0	0	0	19	0	15
OTU176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	3	0	1	7	0	0	0	10	0	0	0	4	0	0	0	0	1	0	21	0	0	0	162	116	0	67	0	0	1	0	1	27	1	39	0	2	166	1	0	8	0	0	0	39	0	0	8	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	43	0	3	4	0	0	1	30	0	0	0
OTU177	0	0	0	0	0	0	181	0	0	2	0	1	58	0	4	0	22	0	0	0	7	0	0	0	0	1	0	6	7	0	6	4	3	0	0	0	0	1	18	1	1	17	0	0	0	3	1	4	9	20	24	0	0	0	1	0	0	0	32	13	0	0	2	0	0	8	7	0	1	10	0	0	1	0	0	196	196	19	1	13	3	12	0	11	0	0	0	4	19	7
OTU178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	143	0	16	0	0	1	0	0	0	0	0	0	0	0	2	0	51	0	0	0	0	0	6	0	0	37	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	156	0	0	0	41	0	0	0	0	0	0	205	0
OTU179	0	0	0	0	0	0	0	218	3	0	1	13	0	0	0	0	3	0	0	0	0	0	0	0	0	0	9	0	0	1	0	59	0	0	0	10	0	0	0	32	23	0	0	0	4	0	0	0	3	2	3	0	2	24	0	44	1	3	0	0	0	0	0	34	0	0	0	0	63	0	0	0	0	19	4	0	0	0	0	85	0	3	4	3	1	0	0	0	11	0
OTU180	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	605	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0
OTU181	0	0	0	0	0	0	5	0	2	3	2	3	5	0	1	1	44	20	0	26	19	42	0	0	4	6	8	47	22	0	9	21	6	1	0	9	0	0	8	26	18	10	9	0	11	3	3	33	3	9	10	32	0	10	0	0	0	4	4	94	13	7	5	4	0	0	1	5	17	7	0	84	16	5	3	3	3	78	0	6	0	14	2	0	1	37	4	9	17	16
OTU182	0	0	0	0	0	0	0	0	1	0	0	0	2	91	0	2	32	0	0	1	0	0	58	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	4	4	2	0	0	0	0	9	4	1	3	0	3	1	4	0	0	0	22	0	3	46	2	0	0	220	0	0	0	0	0	7	3	0	0	0	0	0	6	0	2	0	4	0	0	0	0	0	0	31	0
OTU183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	562	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0
OTU184	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	9	0	0	5	0	9	31	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	1	62	0	420	0	0	47	0	0	0	87	16	0	0	0	0	5	42	0	0	0	0	0	0	0	0	0	3	0
OTU185	0	0	0	1	0	0	0	9	0	1	0	4	8	1	0	32	6	0	3	8	9	16	0	0	2	0	0	1	16	0	1	1	4	0	0	5	0	1	2	4	1	6	0	6	1	16	3	53	8	11	13	76	4	4	1	2	1	1	11	17	11	15	8	5	0	0	2	6	4	65	0	0	16	1	2	2	1	14	0	35	0	11	7	0	4	0	0	8	15	24
OTU186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	751	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	623	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU188	0	0	0	0	0	0	0	0	0	0	0	1	47	0	0	0	0	0	0	36	12	50	0	0	0	1	2	0	35	0	0	0	2	0	0	0	0	4	0	11	3	16	0	0	0	4	1	34	3	6	7	151	0	2	0	15	0	0	0	56	0	54	0	0	0	0	0	8	1	6	0	0	0	2	0	0	0	0	0	0	0	36	7	0	26	0	0	59	0	1
OTU189	0	0	0	0	0	0	0	316	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	14	0	0	0	296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU190	0	0	0	0	0	0	3	0	0	1	5	7	14	0	0	0	14	28	1	12	0	0	5	0	3	0	1	0	24	7	5	2	4	0	0	3	0	0	0	0	0	3	0	0	24	0	73	18	0	2	6	26	0	1	3	7	4	0	14	18	0	14	0	94	2	43	0	8	6	24	0	6	10	24	3	1	1	0	2	25	0	8	0	0	49	0	0	1	0	27
OTU191	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	8	18	0	0	0	88	0	0	0	2	0	0	4	2	7	0	0	0	0	0	0	0	0	39	24	18	6	0	24	0	2	0	0	0	19	0	0	23	23	1	55	3	0	1	1	54	58	0	0	0	0	0	0	0	79	0	2	3	0	0	4	5	9	0	0	0	20	0	10	0	0	0	0	11	0
OTU192	0	0	0	0	0	0	0	5	0	0	2	0	5	0	0	0	0	0	0	0	2	0	0	0	1	0	0	1	8	0	0	70	1	0	0	52	0	0	130	0	0	48	0	0	1	6	0	5	6	30	5	31	0	0	0	0	0	0	2	3	0	12	0	0	0	0	0	0	0	20	0	0	41	2	3	0	0	0	0	26	0	53	0	0	0	0	0	105	0	0
OTU193	0	0	0	0	0	0	3	0	0	0	0	95	22	0	10	0	5	0	0	55	251	0	0	0	6	4	1	2	7	0	0	0	20	0	2	4	0	0	0	16	15	41	0	8	0	12	0	0	0	29	0	0	0	14	1	0	2	24	0	0	0	0	0	0	1	0	0	0	7	10	0	0	2	0	0	4	5	21	0	0	0	64	0	0	0	0	0	4	8	0
OTU194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	179	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	24	17	1	0	0	0	0	0	0	214	0	0	0	0	0	0	0	0	386	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	467	205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
OTU196	0	0	0	0	0	0	0	0	0	3	0	2	12	0	1	48	18	4	13	15	4	3	0	0	3	0	0	0	7	0	13	2	13	0	0	1	0	0	0	8	4	6	9	0	0	18	0	21	6	8	9	13	6	1	0	0	0	3	14	0	46	0	2	0	31	147	0	0	0	32	0	0	0	0	0	0	0	4	0	11	1	8	0	0	0	0	68	1	0	56
OTU197	0	0	0	0	0	0	10	0	15	11	0	14	1	5	128	6	3	1	13	30	7	13	0	19	2	0	10	0	3	5	1	0	14	16	17	7	4	0	0	4	2	3	14	10	0	7	1	4	6	0	13	6	15	2	9	5	0	5	3	16	11	4	0	35	0	2	4	3	0	1	2	1	2	6	1	13	27	3	0	5	3	0	8	7	0	0	0	0	12	34
OTU198	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	112	5	0	0	0	0	118	0	0	0	15	7	0	0	0	0	0	0	201	1	0	14	0	0	7	0	0	2	0	0	0	0	0	3	0	0	0	0	0	1	0	0	1	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20
OTU199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	4	0	0	0	0	0	0	0	0	4	5	0	0	0	1	27	2	21	0	3	0	502	0	3	0	0	0	0	0	5	0	0	0	4	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	3	3	1	0	0	0	0	0	0	0	3
OTU200	0	0	0	0	0	0	1	3	0	0	0	0	12	0	13	35	0	0	0	4	3	0	5	0	8	0	0	0	13	0	0	26	9	0	0	74	0	0	0	0	0	0	30	6	0	0	0	0	2	0	5	0	2	0	0	0	0	0	4	49	267	1	0	3	0	0	0	0	0	2	0	5	10	24	0	0	0	0	40	4	0	0	0	0	0	0	0	2	0	1
OTU201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	4	69	4	0	0	0	0	0	0	0	0	16	63	40	31	0	24	0	4	0	0	0	20	0	0	24	41	2	271	0	0	2	3	2	9	0	0	0	0	0	0	0	35	0	0	0	1	0	0	0	0	0	0	0	14	0	3	0	0	0	0	0	4
OTU202	0	0	0	0	0	0	0	0	0	0	0	51	0	13	0	0	0	0	149	0	0	0	0	29	140	0	39	0	0	0	0	0	0	0	0	0	0	0	0	5	5	0	0	20	99	0	0	0	26	1	48	0	30	7	99	41	44	0	0	0	0	2	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	62	48	1	0	0	0
OTU203	0	0	0	0	0	0	0	23	0	7	0	0	1	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	45	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	111	0	75	0	0	0	0	31	0	0	33	0	1	0	115	0	11	0	0	0	0	1	0	9	0	0	0	91	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
OTU204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	522	0	0	0	0	0	0	0	0	0	0	0	0	0	5	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20
OTU205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	343	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	247
OTU206	0	0	0	0	0	0	1	0	0	0	0	0	30	0	0	8	1	0	0	25	10	14	0	0	0	0	0	6	13	0	0	4	14	0	0	1	0	0	37	2	1	7	1	0	0	12	0	32	0	7	4	82	0	0	0	0	0	2	1	55	2	8	0	0	0	57	0	8	0	4	0	1	30	0	0	0	2	6	1	15	0	12	0	0	0	0	0	17	10	12
OTU207	0	0	0	0	0	0	29	0	0	0	9	1	0	9	3	0	0	1	93	16	9	0	0	0	0	0	0	0	8	0	59	46	5	4	0	29	0	2	0	0	0	1	0	0	4	0	0	0	2	1	6	0	5	0	0	2	6	0	0	1	21	0	0	140	0	1	1	0	0	0	4	0	0	161	1	59	25	0	0	0	1	2	0	1	0	0	2	0	0	66
OTU208	0	0	0	0	0	0	0	0	2	3	0	1	2	0	0	0	75	0	3	0	2	0	0	0	0	0	0	0	0	0	0	0	1	2	0	3	0	1	0	31	17	10	0	0	0	14	0	14	2	9	4	1	27	11	0	2	0	0	0	47	0	1	0	0	0	0	6	0	3	0	0	45	0	0	2	0	0	79	0	0	0	4	0	1	0	0	0	0	103	0
OTU209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	275	0	0	0	0	48	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	7	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0
OTU210	0	0	0	0	0	0	15	16	14	8	4	6	43	5	2	6	12	15	1	38	42	24	4	0	12	0	0	5	11	8	15	8	1	10	3	2	0	5	12	17	8	27	9	4	5	36	9	38	4	18	3	82	11	10	3	0	6	27	11	61	10	10	3	6	0	42	9	5	7	144	1	11	27	45	2	13	10	37	0	19	0	47	8	0	10	11	42	11	17	46
